ticker    date    n for m   (2 for 1 , etc.)

TD.TO,03/02/2014,2,1
GOOG,27/03/2014,2002,1000
GOOG,27/04/2015,10027455,10000000
RAI,16/11/2010,2,1
RAI,01/09/2015,2,1
